"Step","lmbda0_lr5e5_steps20k - train/loss","lmbda0_lr5e5_steps20k - train/loss__MIN","lmbda0_lr5e5_steps20k - train/loss__MAX","lmbda1_lr1e4 - train/loss","lmbda1_lr1e4 - train/loss__MIN","lmbda1_lr1e4 - train/loss__MAX","lmbda1_lr5e5 - train/loss","lmbda1_lr5e5 - train/loss__MIN","lmbda1_lr5e5 - train/loss__MAX","lmbda0_beta1 - train/loss","lmbda0_beta1 - train/loss__MIN","lmbda0_beta1 - train/loss__MAX","lmbda0_lr1e4 - train/loss","lmbda0_lr1e4 - train/loss__MIN","lmbda0_lr1e4 - train/loss__MAX","lmbda1_tok512 - train/loss","lmbda1_tok512 - train/loss__MIN","lmbda1_tok512 - train/loss__MAX","lmbda1_bs16 - train/loss","lmbda1_bs16 - train/loss__MIN","lmbda1_bs16 - train/loss__MAX","lmbda1_tok256 - train/loss","lmbda1_tok256 - train/loss__MIN","lmbda1_tok256 - train/loss__MAX","lmbda1_beta05 - train/loss","lmbda1_beta05 - train/loss__MIN","lmbda1_beta05 - train/loss__MAX","lmbda0_beta05 - train/loss","lmbda0_beta05 - train/loss__MIN","lmbda0_beta05 - train/loss__MAX"
"45","0.326","0.326","0.326","0.2795","0.2795","0.2795","0.28","0.28","0.28","0.2692","0.2692","0.2692","0.1614","0.1614","0.1614","1.3832","1.3832","1.3832","0.6245","0.6245","0.6245","0.6806","0.6806","0.6806","0.1209","0.1209","0.1209","0.0957","0.0957","0.0957"
"46","0.388","0.388","0.388","0.2527","0.2527","0.2527","0.2763","0.2763","0.2763","0.307","0.307","0.307","0.1871","0.1871","0.1871","1.4113","1.4113","1.4113","0.658","0.658","0.658","0.6831","0.6831","0.6831","0.1299","0.1299","0.1299","0.1109","0.1109","0.1109"
"47","","","","0.2436","0.2436","0.2436","0.2634","0.2634","0.2634","0.2714","0.2714","0.2714","0.1577","0.1577","0.1577","1.3492","1.3492","1.3492","0.6356","0.6356","0.6356","0.6891","0.6891","0.6891","0.1236","0.1236","0.1236","0.0967","0.0967","0.0967"
"48","0.302","0.302","0.302","0.2366","0.2366","0.2366","0.2727","0.2727","0.2727","0.2583","0.2583","0.2583","0.1625","0.1625","0.1625","1.5119","1.5119","1.5119","0.6524","0.6524","0.6524","0.654","0.654","0.654","0.127","0.127","0.127","0.0957","0.0957","0.0957"
"49","","","","0.2678","0.2678","0.2678","0.3132","0.3132","0.3132","0.2602","0.2602","0.2602","0.1704","0.1704","0.1704","1.4845","1.4845","1.4845","0.6221","0.6221","0.6221","0.6713","0.6713","0.6713","0.1332","0.1332","0.1332","0.1051","0.1051","0.1051"
"50","0.362","0.362","0.362","0.2283","0.2283","0.2283","0.2565","0.2565","0.2565","0.2633","0.2633","0.2633","0.177","0.177","0.177","1.2466","1.2466","1.2466","0.5905","0.5905","0.5905","0.6353","0.6353","0.6353","0.1135","0.1135","0.1135","0.0935","0.0935","0.0935"
"51","0.3182","0.3182","0.3182","0.2672","0.2672","0.2672","0.2873","0.2873","0.2873","0.2554","0.2554","0.2554","0.1668","0.1668","0.1668","1.442","1.442","1.442","0.6025","0.6025","0.6025","0.7045","0.7045","0.7045","0.1199","0.1199","0.1199","0.0939","0.0939","0.0939"
"52","0.3391","0.3391","0.3391","0.2419","0.2419","0.2419","0.2816","0.2816","0.2816","0.2899","0.2899","0.2899","0.1747","0.1747","0.1747","1.2986","1.2986","1.2986","0.5794","0.5794","0.5794","0.626","0.626","0.626","0.1199","0.1199","0.1199","0.1015","0.1015","0.1015"
"53","0.3525","0.3525","0.3525","0.2621","0.2621","0.2621","0.303","0.303","0.303","0.2897","0.2897","0.2897","0.1829","0.1829","0.1829","1.3632","1.3632","1.3632","0.6497","0.6497","0.6497","0.6992","0.6992","0.6992","0.1287","0.1287","0.1287","0.1106","0.1106","0.1106"
"54","","","","0.2287","0.2287","0.2287","0.2598","0.2598","0.2598","0.2393","0.2393","0.2393","0.1522","0.1522","0.1522","1.1786","1.1786","1.1786","0.526","0.526","0.526","0.6051","0.6051","0.6051","0.1107","0.1107","0.1107","0.0924","0.0924","0.0924"
